City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bethel,75.0,US,1551657360,69.0,60.79,-161.76,35.6,10.29
saleaula,,,,,,,,
busselton,0.0,AU,1551657800,38.0,-33.64,115.35,70.0,18.39
lavrentiya,88.0,RU,1551657897,95.0,65.58,-170.99,28.43,34.61
sulat,92.0,PH,1551658410,99.0,11.81,125.45,77.71,7.76
batagay-alyta,24.0,RU,1551658410,30.0,67.8,130.41,-22.56,2.62
hilo,90.0,US,1551657830,57.0,19.71,-155.08,75.2,9.17
moron,8.0,VE,1551658411,74.0,10.49,-68.2,72.35,3.96
ribeira grande,40.0,PT,1551655800,67.0,38.52,-28.7,59.0,12.75
jamestown,48.0,AU,1551657872,78.0,-33.21,138.6,76.54,4.63
hobart,75.0,AU,1551657796,34.0,-42.88,147.33,70.0,11.41
quelimane,88.0,MZ,1551658412,93.0,-17.88,36.89,77.17,9.22
naryan-mar,0.0,RU,1551658412,57.0,67.67,53.09,-6.27,8.77
punta arenas,20.0,CL,1551658392,61.0,-53.16,-70.91,50.0,23.04
marawi,0.0,PH,1551657678,78.0,8.0,124.29,80.01,2.62
tshikapa,48.0,CD,1551658413,97.0,-6.42,20.79,73.12,1.83
muisne,75.0,EC,1551654000,78.0,0.61,-80.02,82.4,6.93
albany,90.0,US,1551657685,87.0,42.65,-73.75,35.01,2.51
taolanaro,,,,,,,,
dikson,36.0,RU,1551657893,95.0,73.51,80.55,-5.14,24.32
mahebourg,40.0,MU,1551657846,78.0,-20.41,57.7,80.6,8.05
samarai,0.0,PG,1551657927,100.0,-10.62,150.67,82.39,4.41
bocas del toro,100.0,PA,1551658200,66.0,9.33,-82.25,60.01,3.0
celestun,0.0,MX,1551658415,91.0,20.87,-90.4,80.63,13.69
ilulissat,64.0,GL,1551653400,79.0,69.22,-51.1,19.4,4.7
ushuaia,75.0,AR,1551654000,88.0,-54.81,-68.31,51.8,11.41
joshimath,44.0,IN,1551658416,96.0,30.57,79.57,6.52,0.6
san patricio,0.0,PY,1551658416,74.0,-26.98,-56.83,77.08,2.51
longyearbyen,75.0,NO,1551657000,64.0,78.22,15.63,-4.01,5.82
mataura,0.0,NZ,1551657859,43.0,-46.19,168.86,70.46,18.16
faanui,12.0,PF,1551657901,100.0,-16.48,-151.75,83.51,3.62
tianpeng,56.0,CN,1551658417,95.0,28.88,112.34,43.69,4.41
anadyr,90.0,RU,1551658392,95.0,64.73,177.51,32.0,38.03
college,75.0,US,1551658201,73.0,64.86,-147.8,25.0,3.36
clyde river,1.0,CA,1551654000,83.0,70.47,-68.59,-7.61,1.95
peniche,75.0,PT,1551658259,87.0,39.36,-9.38,59.0,9.17
bluff,0.0,AU,1551657870,58.0,-23.58,149.07,78.65,13.8
bambous virieux,40.0,MU,1551658147,78.0,-20.34,57.76,80.6,8.05
benicarlo,8.0,ES,1551658272,46.0,40.42,0.43,60.01,1.01
rikitea,68.0,PF,1551657883,100.0,-23.12,-134.97,79.51,12.24
wukari,12.0,NG,1551658420,59.0,7.87,9.78,82.75,13.13
tuktoyaktuk,90.0,CA,1551654000,85.0,69.44,-133.03,21.2,23.04
comodoro rivadavia,40.0,AR,1551654000,79.0,-45.87,-67.48,66.2,19.46
amderma,,,,,,,,
padang,75.0,ID,1551654000,100.0,-0.92,100.36,75.2,3.36
ponta do sol,80.0,BR,1551658421,93.0,-20.63,-46,66.68,5.64
leningradskiy,68.0,RU,1551657967,94.0,69.38,178.42,15.97,18.05
bengkulu,,,,,,,,
tasiilaq,92.0,GL,1551653400,62.0,65.61,-37.64,24.8,16.11
katsuura,90.0,JP,1551657283,100.0,33.93,134.5,50.0,5.82
norman wells,5.0,CA,1551654000,46.0,65.28,-126.83,8.6,2.24
barrow,92.0,AR,1551657869,55.0,-38.31,-60.23,73.57,15.48
shingu,75.0,JP,1551654000,100.0,33.72,135.99,51.8,2.24
